,Traditional Portfolio,Bitcoin Portfolio,Ethereum Portfolio,Alpha Portfolio
2016-05-16,1.0908716061121089,1.0976929339158883,1.467583289412812,1.3520112565271232
2016-05-17,1.0873653639441543,1.0939924519461972,1.4762570038967686,1.3599070986479818
2016-05-18,1.079510908061271,1.0867637374884325,1.4826862859596046,1.3640966267637602
2016-05-19,1.077166390046583,1.0802466211231279,1.492225651986677,1.3705729691625332
2016-05-20,1.080046410627736,1.0840573302401626,1.4846842522349906,1.3652878935461132
2016-05-23,1.078158582305504,1.0824493949504406,1.4800903914608212,1.3634930650173547
2016-05-24,1.0776204844313002,1.082401591202735,1.4713989934185254,1.3572949289424243
2016-05-25,1.079772026255347,1.0857695719290337,1.4723996110864377,1.3563537428684396
2016-05-26,1.0786276187463757,1.0853542049555491,1.4694730253351247,1.356804098330337
2016-05-27,1.0775129583572247,1.0889192422633263,1.4543788043130381,1.3507161353891957
2016-05-31,1.0784654153916482,1.1028623731855522,1.491022010781134,1.390784205618066
2016-06-01,1.0789903112809645,1.1046848242517782,1.49113024585374,1.3914121388170322
2016-06-02,1.080072616928973,1.1055533861028228,1.4892042709095394,1.3926290208580228
2016-06-03,1.090353008472965,1.1225906793132792,1.5046893714318714,1.4071878786009673
2016-06-06,1.0927934115610047,1.1288211619104227,1.509669944540287,1.409953403124046
2016-06-07,1.093370432585274,1.127599217870234,1.5166018775142158,1.4141430073305166
2016-06-08,1.1017835595393533,1.1371051585480658,1.5270739422450708,1.4209837192627985
2016-06-09,1.1041358117946551,1.1374846846832507,1.5292230755675722,1.4240509322444739
2016-06-10,1.1012492670556941,1.134495315918277,1.5192443052306857,1.4209647943584305
2016-06-13,1.1003707671042153,1.1584075880332667,1.558229730232011,1.4731587074934016
2016-06-14,1.100040992614325,1.1546648910768715,1.5687817596286378,1.4796240466695048
2016-06-15,1.1025618365937293,1.158784280265737,1.5678649502130098,1.4798472946582526
2016-06-16,1.0998160429503476,1.167628361489461,1.5826984064762155,1.5046883415372738
2016-06-17,1.1000256408386269,1.1657856857508424,1.54372976184813,1.4689701964853987
2016-06-20,1.1000024541424578,1.1649369682748665,1.5095019424540548,1.4359594896274293
2016-06-21,1.0930867547741636,1.146475253600105,1.5187363349079404,1.435500042134674
2016-06-22,1.0923280301109002,1.1336375140123245,1.515384296869442,1.4224328284257752
2016-06-23,1.0958499710330052,1.1433542462185422,1.5280151405761655,1.430941195172921
2016-06-24,1.100265785852812,1.1528248504263379,1.5378811304554951,1.4568514827571173
2016-06-27,1.0947899028807206,1.1432530768174456,1.522620054572829,1.457422882055724
2016-06-28,1.0999110246476587,1.1472099249119545,1.5110779040083324,1.4458289261487813
