,BTC,ETH,SPY,TLT,GLD,USD,XLE,XLF
2017-06-07,2732.159912,258.071014,243.66000366210938,122.44999694824219,124.91999816894531,96.75,65.05000305175781,23.56999969482422
2017-06-08,2805.6201170000004,261.66598500000003,243.77999877929688,121.6500015258789,124.58999633789062,96.91999816894531,64.86000061035156,23.84000015258789
2017-06-09,2823.810059,281.737,243.41000366210938,120.54000091552734,124.4000015258789,97.2699966430664,66.41999816894531,24.290000915527344
2017-06-12,2659.6298829999996,401.48999,243.36000061035156,120.36000061035156,124.36000061035156,97.13999938964844,66.88999938964844,24.34000015258789
2017-06-13,2717.02002,397.536987,244.5500030517578,120.4800033569336,124.37999725341797,96.9800033569336,67.38999938964844,24.469999313354492
2017-06-14,2506.3701170000004,359.053009,244.24000549316406,119.81999969482422,126.30000305175781,96.94000244140625,66.16999816894531,24.510000228881836
2017-06-15,2464.580078,361.933014,243.77000427246094,119.31999969482422,126.0999984741211,97.43000030517578,65.66999816894531,24.40999984741211
2017-06-16,2518.560059,370.22699,242.63999938964844,119.33999633789062,126.3499984741211,97.16000366210938,66.30000305175781,24.290000915527344
2017-06-19,2589.600098,370.056,244.66000366210938,118.43000030517578,126.16999816894531,97.52999877929688,65.87999725341797,24.540000915527344
2017-06-20,2721.790039,359.005005,243.00999450683594,118.18000030517578,127.30000305175781,97.75,65.04000091552734,24.329999923706055
2017-06-21,2689.100098,336.872009,242.9499969482422,118.5199966430664,127.55999755859375,97.55999755859375,63.9900016784668,24.1299991607666
2017-06-22,2705.409912,336.371002,242.83999633789062,118.91999816894531,127.83999633789062,97.54000091552734,63.95000076293945,23.979999542236328
2017-06-23,2744.909912,341.739014,243.1300048828125,119.43000030517578,127.77999877929688,97.30000305175781,64.37999725341797,23.889999389648438
2017-06-26,2478.449951,272.691986,243.2899932861328,118.36000061035156,128.25999450683594,97.43000030517578,64.23999786376953,24.020000457763672
2017-06-27,2552.449951,293.088013,241.3300018310547,118.80999755859375,126.88999938964844,96.47000122070312,64.13999938964844,24.139999389648438
2017-06-28,2574.790039,327.927002,243.49000549316406,118.9000015258789,126.47000122070312,96.05000305175781,64.48999786376953,24.520000457763672
2017-06-29,2539.320068,302.882996,241.35000610351562,118.31999969482422,125.41000366210938,95.62999725341797,64.62999725341797,24.690000534057617
2017-06-30,2480.840088,294.91598500000003,241.8000030517578,118.0199966430664,125.12000274658203,95.66000366210938,64.91999816894531,24.670000076293945
2017-07-03,2564.060059,282.89801,242.2100067138672,116.08999633789062,124.45999908447266,96.29000091552734,66.16999816894531,25.030000686645508
